 ,Area,Min,Max,X,Y,XM,YM,Perim.,Circ.,AR,Round,Solidity
1,0.083,255,255,4.622,0.482,4.622,0.482,1.174,0.760,1.666,0.600,0.977
2,0.152,255,255,3.687,1.080,3.687,1.080,1.729,0.637,2.876,0.348,0.984
3,0.129,255,255,5.163,1.568,5.163,1.568,1.637,0.607,2.817,0.355,0.973
4,0.127,255,255,1.615,1.926,1.615,1.926,1.567,0.650,2.448,0.408,0.974
5,0.132,255,255,2.540,1.869,2.540,1.869,1.582,0.664,2.380,0.420,0.969
6,0.117,255,255,6.537,2.046,6.537,2.046,1.533,0.624,2.892,0.346,0.975
7,0.132,255,255,3.723,2.235,3.723,2.235,1.665,0.600,2.900,0.345,0.970
8,0.055,255,255,4.721,2.163,4.721,2.163,0.964,0.740,2.041,0.490,0.972
9,0.053,255,255,1.735,2.520,1.735,2.520,0.917,0.800,1.466,0.682,0.979
10,0.147,255,255,8.419,2.850,8.419,2.850,1.690,0.648,2.516,0.397,0.970
11,0.054,255,255,5.941,2.947,5.941,2.947,0.909,0.814,1.252,0.798,0.976
12,0.127,255,255,4.600,3.192,4.600,3.192,1.568,0.647,2.521,0.397,0.975
13,0.056,255,255,2.952,3.092,2.952,3.092,0.977,0.732,1.881,0.532,0.975
14,0.134,255,255,1.145,3.283,1.145,3.283,1.647,0.619,2.873,0.348,0.977
15,0.129,255,255,4.206,3.702,4.206,3.702,1.621,0.616,2.660,0.376,0.968
16,0.129,255,255,2.878,3.886,2.878,3.886,1.642,0.603,2.954,0.338,0.975
17,0.128,255,255,1.540,3.924,1.540,3.924,1.583,0.643,2.545,0.393,0.971
18,0.070,255,255,5.298,4.103,5.298,4.103,1.087,0.739,1.851,0.540,0.972
19,0.112,255,255,6.577,4.415,6.577,4.415,1.511,0.617,2.771,0.361,0.978
20,0.114,255,255,2.044,4.610,2.044,4.610,1.424,0.704,2.286,0.438,0.983
21,0.092,255,255,4.408,4.705,4.408,4.705,1.434,0.564,3.160,0.317,0.970
22,0.122,255,255,3.009,4.898,3.009,4.898,1.600,0.597,2.726,0.367,0.968
23,0.130,255,255,1.076,5.072,1.076,5.072,1.540,0.690,2.271,0.440,0.972
24,0.132,255,255,7.683,4.976,7.683,4.976,1.651,0.608,2.731,0.366,0.974
25,0.026,255,255,4.745,5.006,4.745,5.006,0.639,0.811,1.326,0.754,0.970
26,0.061,255,255,5.281,5.159,5.281,5.159,1.044,0.709,2.024,0.494,0.973
27,0.112,255,255,3.843,5.154,3.843,5.154,1.542,0.590,3.221,0.310,0.976
28,0.137,255,255,1.830,6.016,1.830,6.016,1.621,0.655,2.613,0.383,0.969
29,0.062,255,255,3.312,5.939,3.312,5.939,1.004,0.774,1.233,0.811,0.973
30,0.082,255,255,4.175,6.075,4.175,6.075,1.295,0.618,2.706,0.370,0.974
31,0.125,255,255,2.211,6.207,2.211,6.207,1.669,0.563,2.956,0.338,0.964
32,0.127,255,255,4.771,6.632,4.771,6.632,1.628,0.602,2.856,0.350,0.974
33,0.124,255,255,6.830,6.877,6.830,6.877,1.581,0.624,2.842,0.352,0.976
34,0.041,255,255,5.756,7.066,5.756,7.066,0.806,0.794,1.476,0.678,0.975
35,0.129,255,255,2.067,7.158,2.067,7.158,1.605,0.629,2.713,0.369,0.971
