 ,Area,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,4690,733.771,64.878,733.771,64.878,278.836,697,17,72,97,0.758,1.847,0.542,0.958
2,6912,332.658,64.015,332.658,64.015,319.220,283,21,99,91,0.852,1.054,0.949,0.975
3,6318,600.467,66.477,600.467,66.477,316.635,543,28,112,80,0.792,1.569,0.638,0.961
4,4510,202.395,68.235,202.395,68.235,262.350,164,33,83,69,0.823,1.302,0.768,0.972
5,2999,66.620,64.502,66.620,64.502,208.551,34,34,68,60,0.866,1.187,0.843,0.966
6,3277,464.775,68.008,464.775,68.008,216.066,434,34,61,68,0.882,1.181,0.847,0.973
7,8118,334.108,195.670,334.108,195.670,349.061,285,143,103,112,0.837,1.294,0.773,0.971
8,5280,600.911,194.895,600.911,194.895,286.492,562,145,76,97,0.808,1.327,0.753,0.953
9,3880,465.302,197.975,465.302,197.975,233.865,430,163,70,73,0.891,1.062,0.942,0.976
10,3981,197.147,200.186,197.147,200.186,241.664,159,164,80,71,0.857,1.141,0.877,0.964
11,4055,730.401,197.818,730.401,197.818,239.865,690,165,77,69,0.886,1.158,0.864,0.976
12,3350,68.874,198.486,68.874,198.486,229.622,29,168,82,57,0.798,1.557,0.642,0.959
13,8928,734.216,332.328,734.216,332.328,365.304,673,279,120,106,0.841,1.438,0.695,0.972
14,6663,332.509,340.052,332.509,340.052,329.404,279,283,102,104,0.772,1.569,0.637,0.953
15,5066,468.427,336.344,468.427,336.344,286.149,435,291,78,95,0.777,1.175,0.851,0.955
16,4087,68.649,334.738,68.649,334.738,242.593,29,299,78,72,0.873,1.373,0.728,0.975
17,2939,600.241,334.487,600.241,334.487,217.238,565,305,68,62,0.783,1.533,0.652,0.959
18,2473,198.239,336.435,198.239,336.435,188.853,165,314,66,46,0.871,1.435,0.697,0.976
19,10224,464.708,467.079,464.708,467.079,391.161,405,402,114,120,0.840,1.132,0.884,0.975
20,8990,201.902,467.576,201.902,467.576,385.061,137,411,127,102,0.762,1.560,0.641,0.940
21,6144,70.131,465.431,70.131,465.431,300.735,29,421,90,91,0.854,1.069,0.935,0.977
22,3599,335.434,467.917,335.434,467.917,242.451,300,429,75,71,0.769,1.096,0.912,0.937
23,2291,735.246,465.767,735.246,465.767,187.581,715,431,44,68,0.818,1.570,0.637,0.965
24,2526,601.002,468.799,601.002,468.799,193.480,576,437,52,66,0.848,1.346,0.743,0.968
25,10509,468.129,599.508,468.129,599.508,407.505,407,539,118,119,0.795,1.117,0.895,0.948
26,5781,733.974,596.758,733.974,596.758,286.894,696,552,74,91,0.883,1.213,0.824,0.983
27,3969,192.232,598.834,192.232,598.834,242.392,154,556,74,80,0.849,1.264,0.791,0.968
28,3509,67.462,597.638,67.462,597.638,238.108,36,562,69,73,0.778,1.100,0.909,0.933
29,3382,601.091,598.916,601.091,598.916,234.451,565,563,64,74,0.773,1.135,0.881,0.942
30,2109,333.213,597.482,333.213,597.482,170.752,307,570,51,54,0.909,1.076,0.929,0.970
31,11489,334.880,732.167,334.880,732.167,405.789,273,670,123,124,0.877,1.063,0.940,0.981
32,8075,200.952,732.810,200.952,732.810,374.191,143,682,106,114,0.725,1.323,0.756,0.930
33,4789,468.775,735.169,468.775,735.169,278.392,429,689,77,95,0.776,1.774,0.564,0.951
34,4141,63.791,730.029,63.791,730.029,244.593,28,692,74,76,0.870,1.129,0.886,0.970
35,2998,737.772,733.459,737.772,733.459,211.823,709,698,57,70,0.840,1.562,0.640,0.973
36,3254,599.709,733.571,599.709,733.571,224.794,563,702,68,69,0.809,1.536,0.651,0.962
